number,identification,species,latitude,longitude,fuste,height,dap,cap,biological,anthropic
1,37947,paineira,-7.13523611111111,-34.84585833333330,2.58000000000000,6.31000000000000,0.12382254572550,0.38900000000000,0,0
2,38256,paineira,-7.13507222222222,-34.84589444444450,1.89000000000000,5.01000000000000,0.09867606471698,0.31000000000000,0,0
3,38235,paineira,-7.13512777777778,-34.84589166666670,2.30000000000000,4.50000000000000,0.05092958178941,0.16000000000000,0,0
4,38237,paineira,-7.13505833333333,-34.84592222222220,2.71000000000000,5.21000000000000,0.09963099437553,0.31300000000000,1,0
5,38253,paineira,-7.13498611111111,-34.84593611111110,1.73000000000000,6.51000000000000,0.12477747538405,0.39200000000000,0,0
6,38238,paineira,-7.13494166666667,-34.84600000000000,1.53000000000000,6.01000000000000,0.12382254572550,0.38900000000000,0,0
7,37601,paineira,-7.13493888888889,-34.84594166666670,1.99000000000000,2.90000000000000,0.03151267873220,0.09900000000000,0,0
8,38236,paineira,-7.13492500000000,-34.84598055555560,2.40000000000000,6.31000000000000,0.14069296969324,0.44200000000000,0,0
9,38255,paineira,-7.13487777777778,-34.84605000000000,1.50000000000000,6.61000000000000,0.16552114081557,0.52000000000000,0,1
10,37602,paineira,-7.13486388888889,-34.84602777777780,1.54000000000000,5.51000000000000,0.13782818071758,0.43300000000000,0,0
11,37604,Ipê,-7.13500833333333,-34.84596388888890,0.29000000000000,1.18000000000000,0.02037183271576,0.06400000000000,0,1
12,37876,Ipê,-7.13497222222222,-34.84581666666670,0.18200000000000,2.71000000000000,0.05793239928545,0.18200000000000,1,1
13,37589,Ipê,-7.13493333333333,-34.84575277777780,0.20000000000000,0.86000000000000,0.01846197339866,0.05800000000000,1,1
14,37883,Ipê,-7.13495555555556,-34.84570555555560,0.00000000000000,0.69000000000000,0.01878028328484,0.05900000000000,0,2
15,38254,Ipê,-7.13493055555556,-34.84564722222220,0.17500000000000,0.87000000000000,0.01623380419537,0.05100000000000,1,0
16,37885,,-7.13466944444444,-34.84511111111110,1.10000000000000,6.06000000000000,0.10249578335118,0.32200000000000,0,0
17,37880,paineira,-7.13497500000000,-34.84492777777780,2.35000000000000,6.46000000000000,0.15310705525440,0.48100000000000,0,0
18,37881,paineira,-7.13501944444445,-34.84492222222220,2.72000000000000,7.06000000000000,0.17825353626292,0.56000000000000,0,0
19,37878,paineira,-7.13500555555556,-34.84491388888890,2.15000000000000,7.06000000000000,0.17825353626292,0.56000000000000,0,0
20,37884,paineira,-7.13508333333333,-34.84500277777780,2.45000000000000,4.91000000000000,0.08021409131832,0.25200000000000,0,0
21,37886,paineira,-7.13514166666667,-34.84530277777780,2.15000000000000,8.26000000000000,0.22440846975957,0.70500000000000,0,0
22,37879,paineira,-7.13542222222222,-34.84550000000000,0.00000000000000,3.65000000000000,0.13496339174193,0.42400000000000,0,2
23,37875,Pau ferro,-7.13539166666667,-34.84548611111110,1.05000000000000,3.25000000000000,0.06047887837492,0.19000000000000,0,2
24,37882,Pau ferro,-7.13533611111111,-34.84538888888890,0.90000000000000,3.85000000000000,0.04774648292757,0.15000000000000,0,2
